,,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2023-08-14,21:30,Matchweek 1,Mon,Home,W,3,1,Granada,3,14,6,42.9,0.21,0.5,14.4,0,0,0,2.4,2.4,0.17,0.6,0.6,Match Report
2023-08-20,21:30,Matchweek 2,Sun,Away,D,0,0,Betis,0,5,1,20.0,0.0,0.0,13.7,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Match Report
2023-08-28,21:30,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,7,17,10,58.8,0.41,0.7,16.0,0,0,0,3.4,3.4,0.21,3.6,3.6,Match Report
2023-09-16,16:15,Matchweek 5,Sat,Away,L,0,3,Valencia,0,11,3,27.3,0.0,0.0,17.8,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2023-09-24,21:00,Matchweek 6,Sun,Home,W,3,1,Real Madrid,3,10,4,40.0,0.3,0.75,14.6,0,0,0,1.4,1.4,0.14,1.6,1.6,Match Report
2023-09-28,21:30,Matchweek 7,Thu,Away,W,2,0,Osasuna,2,5,3,60.0,0.4,0.67,12.9,0,0,0,1.5,1.5,0.3,0.5,0.5,Match Report
2023-10-01,21:00,Matchweek 8,Sun,Home,W,3,2,Cádiz,3,18,9,50.0,0.17,0.33,15.5,1,0,0,2.7,2.7,0.15,0.3,0.3,Match Report
2023-10-08,16:15,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,2,13,4,30.8,0.08,0.25,15.0,0,1,1,2.2,1.6,0.12,-0.2,-0.6,Match Report
2023-10-21,21:00,Matchweek 10,Sat,Away,W,3,0,Celta Vigo,3,11,6,54.5,0.18,0.33,17.4,0,1,1,1.8,1.0,0.09,1.2,1.0,Match Report
2023-10-29,21:00,Matchweek 11,Sun,Home,W,2,1,Alavés,2,11,7,63.6,0.18,0.29,11.8,0,0,0,1.3,1.3,0.12,0.7,0.7,Match Report
2023-11-03,20:00,Matchweek 12,Fri,Away,L,1,2,Las Palmas,1,13,5,38.5,0.08,0.2,16.2,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Match Report
2023-11-12,21:00,Matchweek 13,Sun,Home,W,3,1,Villarreal,3,25,10,40.0,0.12,0.3,14.6,0,0,0,3.9,3.9,0.16,-0.9,-0.9,Match Report
2023-11-25,21:00,Matchweek 14,Sat,Home,W,1,0,Mallorca,1,20,3,15.0,0.05,0.33,17.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Match Report
