,,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
2023-08-12,Sat,La Liga,Matchweek 1,Away,W 2–0,Real Madrid,Athletic Club,Y,AM,90,1,0,0,0,2,1,0,0,66,3,2,4,0.2,0.2,0.1,3,1,40,50,80.0,6,39,4,4,3,Match Report
2023-08-19,Sat,La Liga,Matchweek 2,Away,W 3–1,Real Madrid,Almería,Y,"AM,FW",80,2,1,0,0,6,4,0,0,55,0,0,0,0.7,0.7,0.3,3,1,41,45,91.1,4,30,1,2,1,Match Report
2023-08-25,Fri,La Liga,Matchweek 3,Away,W 1–0,Real Madrid,Celta Vigo,Y,AM,90,1,0,0,0,1,1,0,0,50,0,0,2,0.2,0.2,0.1,1,0,36,41,87.8,5,41,3,2,1,Match Report
2023-09-02,Sat,La Liga,Matchweek 4,Home,W 2–1,Real Madrid,Getafe,Y,AM,90,1,0,0,0,1,1,0,0,68,0,0,1,0.7,0.7,0.1,5,0,49,57,86.0,10,52,3,4,1,Match Report
2023-09-09,Sat,Euro Qualifying,Group stage,Away,D 1–1,eng England,ua Ukraine,Y,CM,64,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
2023-09-12,Tue,Friendlies (M),Friendlies (M),Away,W 3–1,eng England,sct Scotland,Y,AM,83,1,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
2023-09-17,Sun,La Liga,Matchweek 5,Home,W 2–1,Real Madrid,Real Sociedad,Y,"AM,FW",90,0,0,0,0,2,2,0,0,51,1,0,1,0.3,0.3,0.1,6,0,34,41,82.9,6,40,3,5,2,Match Report
2023-09-20,Wed,Champions Lg,Group stage,Home,W 1–0,es Real Madrid,de Union Berlin,Y,"AM,RM",90,1,0,0,0,4,1,0,0,83,0,0,0,1.1,1.1,0.3,7,0,59,68,86.8,7,74,1,1,0,Match Report
2023-09-24,Sun,La Liga,Matchweek 6,Away,L 1–3,Real Madrid,Atlético Madrid,Y,"AM,FW",90,0,0,0,0,1,0,1,0,64,2,0,1,0.1,0.1,0.0,2,0,47,54,87.0,8,41,2,10,7,Match Report
2023-09-27,Wed,La Liga,Matchweek 7,Home,W 2–0,Real Madrid,Las Palmas,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2023-09-30,Sat,La Liga,Matchweek 8,Away,W 3–0,Real Madrid,Girona,Y,AM,73,1,1,0,0,5,3,0,0,66,4,1,3,1.2,1.2,0.7,4,1,43,45,95.6,6,50,3,6,2,Match Report
2023-10-03,Tue,Champions Lg,Group stage,Away,W 3–2,es Real Madrid,it Napoli,Y,AM,90,1,1,0,0,3,1,1,0,70,4,2,2,0.5,0.5,0.5,7,3,51,55,92.7,9,58,7,4,3,Match Report
2023-10-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Real Madrid,Osasuna,Y,AM,71,2,0,0,0,3,3,0,0,74,2,3,4,0.7,0.7,0.0,1,1,48,56,85.7,3,47,2,1,0,Match Report
2023-10-13,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,au Australia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2023-10-17,Tue,Euro Qualifying,Group stage,Home,W 3–1,eng England,it Italy,Y,AM,84,0,1,0,0,1,1,0,0,,,3,,,,,,,,,,,,,,,Match Report
2023-10-21,Sat,La Liga,Matchweek 10,Away,D 1–1,Real Madrid,Sevilla,Y,AM,90,0,0,0,0,1,0,0,0,53,0,1,4,0.0,0.0,0.1,7,0,29,36,80.6,6,42,7,2,1,Match Report
2023-10-24,Tue,Champions Lg,Group stage,Away,W 2–1,es Real Madrid,pt Braga,Y,"AM,FW",88,1,0,0,0,3,2,0,0,63,1,2,2,0.2,0.2,0.0,2,0,41,52,78.8,8,54,4,0,0,Match Report
2023-10-28,Sat,La Liga,Matchweek 11,Away,W 2–1,Real Madrid,Barcelona,Y,CM,90,2,0,0,0,2,2,0,0,65,2,2,4,0.6,0.6,0.0,1,0,44,48,91.7,4,44,0,4,0,Match Report
2023-11-05,Sun,La Liga,Matchweek 12,Home,D 0–0,Real Madrid,Rayo Vallecano,Y,AM,90,0,0,0,0,3,0,0,0,79,2,0,5,0.1,0.1,0.1,7,0,59,66,89.4,10,51,7,5,3,Match Report
2023-11-08,Wed,Champions Lg,Group stage,Home,W 3–0,es Real Madrid,pt Braga,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-26,Sun,La Liga,Matchweek 14,Away,W 3–0,Real Madrid,Cádiz,Y,AM,77,1,0,0,0,3,1,0,0,75,3,0,0,0.5,0.5,0.0,3,1,60,64,93.8,8,58,7,5,3,Match Report
2023-11-29,Wed,Champions Lg,Group stage,Home,W 4–2,es Real Madrid,it Napoli,Y,"AM,FW",90,1,1,0,0,2,2,0,0,84,1,1,0,0.4,0.4,0.6,10,1,64,74,86.5,11,61,8,6,3,Match Report
2023-12-02,Sat,La Liga,Matchweek 15,Home,W 2–0,Real Madrid,Granada,Y,"LM,AM",90,0,0,0,0,2,1,1,0,88,1,0,0,0.9,0.9,0.5,6,1,76,81,93.8,18,65,1,0,0,Match Report
